saleid|I|C|S|T|Q|P
89115|6240|3369|96|92|45|supercheap 
79323|13273|13413|41|6|8|moderate
31165|11581|5746|52|73|12|supercheap 
20640|10086|8397|43|16|19|supercheap 
94720|7304|14783|84|73|38|supercheap 
37843|9900|1343|30|73|31|supercheap 
97801|8300|8424|72|73|5|supercheap 
985|12008|5746|17|73|35|supercheap 
16878|12745|17992|74|33|11|cheap
38583|9485|14946|90|33|43|supercheap 
9438|8394|8397|30|73|24|supercheap 
89408|16978|17880|24|75|31|supercheap 
12122|11381|8397|82|73|43|supercheap 
50634|8029|244|80|97|49|outrageous
33467|9457|2151|54|76|44|supercheap 
72602|10281|11810|45|92|13|supercheap 
58444|10649|6993|95|73|43|supercheap 
83881|9518|9478|59|73|17|moderate
97233|8503|9768|8|13|29|expensive
77027|8185|4973|29|95|19|supercheap 
58458|9739|997|23|73|3|supercheap 
3985|11847|16404|46|82|46|supercheap 
67717|6479|16897|7|27|17|supercheap 
81564|9843|10264|80|43|22|supercheap 
15748|9779|8397|79|55|31|outrageous
10554|13075|4973|53|8|36|cheap
10035|12055|5696|36|73|26|cheap
9960|8162|9106|50|84|25|moderate
55456|9475|8397|77|73|25|supercheap 
6379|11259|4450|54|73|19|supercheap 
72049|10780|8397|90|73|45|supercheap 
85388|12849|7217|40|20|8|cheap
35052|12007|10098|47|30|14|moderate
93963|10835|8397|31|73|42|supercheap 
30180|9129|19445|53|73|27|supercheap 
76757|6111|7462|92|73|26|supercheap 
25087|10680|8397|53|52|3|expensive
9291|13075|8397|58|92|9|supercheap 
15342|14074|8397|22|73|50|supercheap 
32365|13228|172|5|73|24|cheap
72651|10546|16509|2|73|6|cheap
78697|10259|19890|83|55|33|supercheap 
28869|13543|8397|13|97|35|supercheap 
5925|7285|8397|85|31|50|outrageous
19427|6598|16868|80|63|31|supercheap 
67490|11686|3948|18|95|4|outrageous
67017|11915|1552|61|20|16|supercheap 
49392|9309|5746|13|36|41|supercheap 
39307|6955|8397|84|1|39|moderate
82631|8637|14077|9|27|6|expensive
93782|7444|10051|51|73|19|supercheap 
80339|12735|17853|98|73|23|cheap
62360|4212|3897|75|73|26|moderate
14477|11573|18415|69|63|46|supercheap 
86334|10913|12709|24|34|38|cheap
35527|7334|8397|48|2|5|supercheap 
86867|7660|7036|76|33|15|supercheap 
28106|9973|2481|55|73|48|supercheap 
31104|10129|16891|29|35|27|cheap
77641|11831|15167|19|73|30|supercheap 
18487|10224|19445|38|73|26|cheap
40161|8917|18491|93|73|50|cheap
80116|8296|8397|50|73|24|supercheap 
94985|8857|8397|35|47|43|supercheap 
17296|8965|17880|42|73|26|cheap
48934|8602|8397|21|73|49|expensive
35764|11743|3881|98|73|17|supercheap 
69327|12627|9589|59|73|41|outrageous
2694|11465|18028|60|91|7|supercheap 
38778|12945|14639|31|73|39|expensive
46007|10399|11961|8|73|12|supercheap 
69267|11858|13397|2|73|38|supercheap 
57013|11017|8397|89|73|18|supercheap 
34101|6411|15901|41|19|37|supercheap 
3286|10413|13757|18|41|15|supercheap 
37859|5880|8397|50|63|23|cheap
97758|13148|5746|98|4|45|outrageous
55466|11645|17176|59|34|41|cheap
63665|8282|5746|53|73|36|supercheap 
54781|15767|11036|24|50|28|cheap
33178|12723|8397|72|56|33|moderate
13634|8128|6246|12|73|21|supercheap 
48072|6628|5936|61|79|32|supercheap 
24139|10013|493|25|10|7|supercheap 
80367|8989|8397|16|73|49|supercheap 
99982|11479|2189|81|73|16|supercheap 
65649|11198|16287|50|73|8|supercheap 
58049|12351|19426|12|73|42|supercheap 
75930|8376|11569|52|73|44|supercheap 
9109|8060|8660|56|73|15|cheap
54606|13659|15573|56|73|32|supercheap 
13053|11400|5746|46|35|43|supercheap 
41228|5162|10584|27|89|10|cheap
20663|10784|8842|75|92|38|outrageous
71723|10272|8397|68|92|40|outrageous
50097|11174|19233|70|18|1|moderate
59982|11058|12521|23|46|4|expensive
69897|11273|9519|23|54|39|cheap
60986|9225|16153|25|95|31|supercheap 
26094|11158|12669|96|95|10|cheap
44105|11498|18496|46|95|26|moderate
53418|9720|18415|34|20|32|moderate
52812|6929|5696|70|73|49|supercheap 
61024|11706|5246|91|73|26|supercheap 
77432|14026|16719|77|97|42|moderate
96452|8430|9295|26|73|15|cheap
61948|11450|6680|19|73|15|supercheap 
32132|19066|65|83|73|1|supercheap 
26082|8621|3412|64|98|46|supercheap 
72090|11774|7941|99|73|33|outrageous
20542|9230|3412|64|34|43|cheap
77044|9211|1176|16|61|9|cheap
18835|6164|2481|52|73|30|supercheap 
21908|7519|15723|74|34|28|outrageous
22963|7519|8397|83|65|23|supercheap 
12878|13012|8744|74|27|30|supercheap 
68121|12968|6440|99|45|22|supercheap 
94727|9732|5746|60|41|4|supercheap 
60689|9876|19444|49|43|18|supercheap 
23374|8327|8397|12|73|8|supercheap 
19532|6803|8260|84|55|37|supercheap 
59022|11483|16719|69|5|44|supercheap 
45005|9809|10880|76|73|15|supercheap 
93380|11883|4288|72|73|38|supercheap 
24211|7336|16589|78|7|38|supercheap 
14429|8225|7251|26|35|35|expensive
96610|7856|11193|33|73|15|expensive
78322|9774|18471|85|73|15|supercheap 
6025|11171|16719|35|73|36|expensive
97334|9002|1328|21|73|29|supercheap 
19218|13846|1083|51|83|9|supercheap 
31063|12059|6885|96|73|22|cheap
88446|12511|8397|24|6|13|expensive
15072|9892|8397|3|73|20|supercheap 
12921|12507|9989|5|73|20|supercheap 
91075|11712|6967|27|73|34|supercheap 
53563|10562|8397|50|84|21|supercheap 
79243|9276|19605|19|73|49|cheap
78969|10019|1082|52|73|27|cheap
90112|12839|8536|47|73|42|supercheap 
90133|8524|1235|31|73|1|supercheap 
99911|7190|3777|72|73|16|supercheap 
14241|11265|12801|68|73|22|supercheap 
70770|5794|19593|4|48|38|cheap
35331|9290|5696|1|73|4|supercheap 
55831|11445|1826|43|27|27|cheap
80576|8211|11356|54|73|24|cheap
73112|13137|19445|71|73|36|moderate
90811|11850|5746|81|73|24|expensive
69114|12853|8397|7|73|46|supercheap 
3511|7344|5746|36|73|49|cheap
49613|13325|6202|91|16|45|supercheap 
65513|13090|8397|92|73|1|cheap
29093|9562|2860|92|73|21|cheap
73174|11585|8397|49|73|16|cheap
40615|11651|6390|86|73|8|supercheap 
11576|11466|16566|48|1|32|cheap
6355|9914|4032|67|54|22|outrageous
42723|9037|7475|59|96|26|supercheap 
42155|11048|607|95|73|16|supercheap 
60129|9551|9459|91|32|31|supercheap 
68866|11402|16509|38|73|26|cheap
45226|10846|12236|36|73|48|supercheap 
90268|9434|1785|19|73|4|supercheap 
10702|11727|18914|99|73|46|cheap
65767|8404|8397|50|73|36|supercheap 
44678|10672|19859|73|73|31|expensive
6029|8491|5429|8|92|40|supercheap 
73835|15639|5696|43|3|47|supercheap 
98802|9501|14396|57|73|20|supercheap 
32542|7033|5345|23|16|18|supercheap 
68157|9195|8397|59|34|4|moderate
29914|10094|8858|53|73|5|supercheap 
3488|11485|8397|44|73|47|supercheap 
47466|11306|16868|85|6|24|supercheap 
11255|8600|5746|79|73|30|supercheap 
5266|11700|18449|1|73|9|expensive
32774|6660|5746|65|73|21|cheap
52973|9523|652|88|73|25|cheap
4390|10518|7079|51|73|23|expensive
42729|8065|233|31|73|43|supercheap 
47343|8443|1328|27|73|10|expensive
19190|7919|8397|34|73|7|supercheap 
36155|10876|16946|52|73|29|supercheap 
37190|10840|11312|97|73|45|supercheap 
93105|9398|11782|8|73|32|supercheap 
86948|8432|18324|63|2|44|moderate
35871|6532|1528|16|3|31|supercheap 
62267|10083|6646|17|73|7|supercheap 
39792|9690|5746|25|70|50|moderate
20420|10947|5746|89|73|2|cheap
2403|7783|5104|54|16|27|supercheap 
31183|12720|6885|37|41|49|supercheap 
80932|7725|16868|76|73|48|moderate
24997|10136|17518|6|73|9|expensive
37058|9623|2272|95|73|15|supercheap 
47109|10879|5746|71|97|26|supercheap 
60674|6878|5198|23|73|2|supercheap 
19209|11059|5663|18|73|12|cheap
40781|14933|17235|4|73|3|expensive
36035|9234|5054|11|50|13|supercheap 
39032|8353|4027|17|73|28|moderate
95099|8936|12301|52|73|5|expensive
61684|10090|8397|99|84|35|supercheap 
79907|12620|17152|79|50|8|supercheap 
26871|8016|10942|5|93|19|supercheap 
73730|13129|14616|14|73|6|supercheap 
16992|12786|8397|64|73|26|supercheap 
76925|9026|13526|30|16|21|supercheap 
93330|8177|17306|68|82|17|supercheap 
27944|8376|8977|70|73|10|moderate
38011|8905|1943|19|92|16|cheap
61717|8353|17569|54|73|44|supercheap 
73184|11244|12059|37|73|15|supercheap 
71547|10911|12935|6|73|6|moderate
52079|13003|15676|89|95|50|supercheap 
48966|11711|7747|42|29|4|cheap
98049|10905|16566|88|63|36|cheap
66014|11110|11032|11|64|6|supercheap 
53977|4093|8397|49|73|16|supercheap 
53700|10674|5746|4|73|14|expensive
53627|8154|17880|7|73|18|supercheap 
52478|6215|8397|92|16|7|outrageous
94588|10391|12452|18|73|3|supercheap 
20730|10148|8397|2|73|36|supercheap 
42459|10220|4973|100|73|21|outrageous
78034|9958|19445|96|28|23|cheap
30042|11669|8397|47|92|9|supercheap 
89227|11547|5746|6|73|49|outrageous
76700|10578|9991|32|73|33|supercheap 
75917|12417|12789|73|73|8|moderate
49450|19015|1864|34|73|44|supercheap 
52220|10931|14366|77|50|33|supercheap 
79864|8498|13316|74|73|49|supercheap 
13625|6893|5746|39|44|8|supercheap 
73621|11337|1225|91|73|33|supercheap 
44704|13718|8397|62|73|12|supercheap 
69579|14226|18933|31|26|20|expensive
70648|9130|14689|60|98|30|cheap
9000|8539|16719|81|73|9|supercheap 
20843|10151|16136|65|73|17|supercheap 
47220|12168|8397|41|95|12|cheap
25186|10546|8397|1|73|23|expensive
56785|8185|9459|98|73|42|supercheap 
62475|8574|1172|13|79|5|supercheap 
3470|6203|19305|50|73|42|supercheap 
81501|10257|10526|98|38|29|supercheap 
9756|9198|3956|16|32|33|supercheap 
3083|12225|7343|57|73|37|moderate
46171|7732|5696|99|73|38|moderate
78158|8467|18415|32|49|6|supercheap 
33254|6851|5746|95|16|36|supercheap 
27525|4641|5746|5|73|32|supercheap 
68282|8015|8397|5|79|12|supercheap 
76506|11592|5740|13|79|43|cheap
96259|11203|18183|93|73|36|moderate
21632|8813|19859|47|73|30|supercheap 
54158|11644|5696|29|48|3|moderate
78784|11642|8397|65|73|33|supercheap 
51386|10694|8397|99|73|41|supercheap 
68513|6864|6326|82|31|40|supercheap 
38638|7548|8397|97|95|44|supercheap 
3647|10927|8397|95|73|37|supercheap 
63774|1496|8397|44|98|30|supercheap 
9519|11847|8397|54|73|29|supercheap 
76041|9243|5491|11|73|7|expensive
44336|9682|8397|49|73|34|supercheap 
43933|3109|10458|75|86|50|supercheap 
77356|7507|3412|21|95|1|supercheap 
17950|7498|5746|75|31|23|supercheap 
20976|10041|5356|61|73|44|expensive
22422|8905|6291|17|73|15|cheap
78803|43|5912|87|73|37|cheap
78873|10932|6858|32|73|42|supercheap 
58945|14121|5746|20|73|32|expensive
14846|11739|8397|9|16|42|supercheap 
34129|16033|16868|50|95|46|cheap
50984|12368|15734|72|73|40|cheap
64317|12331|18180|12|73|18|supercheap 
39826|8178|13942|7|59|25|outrageous
18400|6226|6865|48|29|34|supercheap 
41905|8314|1693|78|97|50|expensive
82927|11502|12802|68|73|16|supercheap 
29499|8854|6010|18|95|38|outrageous
58409|8557|5713|49|73|7|expensive
36074|13479|4973|28|39|32|supercheap 
14364|9325|8397|95|63|14|supercheap 
14138|10715|4450|82|22|23|supercheap 
84773|10954|12935|26|70|9|cheap
51956|9398|8397|15|73|30|supercheap 
93711|6684|4013|31|73|34|outrageous
18782|9809|5746|15|73|2|supercheap 
95844|12825|17880|99|73|22|supercheap 
54583|9119|8397|82|35|37|cheap
32106|9546|14222|63|95|4|supercheap 
27551|9797|16868|52|73|43|supercheap 
20229|12173|16868|56|73|44|cheap
87164|10327|8397|13|16|34|expensive
95059|8402|13304|53|92|34|cheap
43305|6466|5746|49|61|35|expensive
37441|9565|100|81|92|2|expensive
29826|10654|16868|32|73|31|cheap
848|11229|9377|90|8|35|cheap
67520|8227|8397|7|92|10|outrageous
11124|7460|17690|9|73|19|cheap
71313|10719|13072|13|36|23|moderate
80917|10779|8397|89|73|17|cheap
95948|12839|8038|66|9|49|outrageous
98813|6765|1387|17|73|38|cheap

Vagrant.configure("2") do |config|
  config.vm.box = "centos7"  #box名称
  config.vm.hostname = "centos7"  #win10系统下的主机名
  config.vm.synced_folder ".", "d:/dev/centos7",type:"virtualbox"  #开发目录对应dev/CentOS7
  config.vm.provider "virtualbox" do |vb|
  vb.memory = "1024"        #定义分配内存大小
  vb.name = "centos7"  #virtualbox下显示的虚拟主机名
  end
  #set auto_update to false, ifyou do NOT want to check the current
  #additions version when booting this machine
  config.vbguest.auto_update = false
  #do NOT download the iso file from a webserver
  config.vbguest.no_remote = true
end
